,   #69 , 1.000000 , 1.000000 , 0.047913 , 0.000000 , 30.000000 ,          Fixed ,
,   #70 , 1.000000 , 1.000000 , 0.093191 , 0.000000 , 30.000000 ,          Fixed ,
,   #71 , 1.000000 , 1.000000 , 0.192384 , 0.000000 , 30.000000 ,          Fixed ,
,   #72 , 1.000000 , 1.000000 , 0.100387 , 0.000000 , 30.000000 ,          Fixed ,
,   #73 , 1.000000 , 1.000000 , 0.092499 , 0.000000 , 30.000000 ,          Fixed ,
,   #74 , 1.000000 , 1.000000 , 0.070939 , 0.000000 , 30.000000 ,          Fixed ,
,   #75 , 1.000000 , 1.000000 , 0.061048 , 0.000000 , 30.000000 ,          Fixed ,
,   #76 , 1.000000 , 1.000000 , 0.055235 , 0.000000 , 30.000000 ,          Fixed ,
,   #77 , 1.000000 , 1.000000 , 0.053604 , 0.000000 , 30.000000 ,          Fixed ,
,   #78 , 1.000000 , 1.000000 , 0.053844 , 0.000000 , 30.000000 ,          Fixed ,
,   #79 , 1.000000 , 1.000000 , 0.052931 , 0.000000 , 30.000000 ,          Fixed ,
,   #80 , 1.000000 , 1.000000 , 0.054382 , 0.000000 , 30.000000 ,          Fixed ,
,   #81 , 1.000000 , 1.000000 , 0.064986 , 0.000000 , 30.000000 ,          Fixed ,
,   #82 , 1.000000 , 1.000000 , 0.059531 , 0.000000 , 30.000000 ,          Fixed ,
,   #83 , 1.000000 , 1.000000 , 0.075327 , 0.000000 , 30.000000 ,          Fixed ,
,   #84 , 1.000000 , 1.000000 , 0.124803 , 0.000000 , 30.000000 ,          Fixed ,
,   #85 , 1.000000 , 1.000000 , 0.193703 , 0.000000 , 30.000000 ,          Fixed ,
,   #86 , 1.000000 , 1.000000 , 0.164872 , 0.000000 , 30.000000 ,          Fixed ,
,   #87 , 1.000000 , 1.000000 , 0.135949 , 0.000000 , 30.000000 ,          Fixed ,
,   #88 , 1.000000 , 1.000000 , 0.114772 , 0.000000 , 30.000000 ,          Fixed ,
,   #89 , 1.000000 , 1.000000 , 0.096104 , 0.000000 , 30.000000 ,          Fixed ,
,   #90 , 1.000000 , 1.000000 , 0.081551 , 0.000000 , 30.000000 ,          Fixed ,
,   #91 , 1.000000 , 1.000000 , 0.068338 , 0.000000 , 30.000000 ,          Fixed ,
,   #92 , 1.000000 , 1.000000 , 0.057432 , 0.000000 , 30.000000 ,          Fixed ,
,   #93 , 1.000000 , 1.000000 , 0.057827 , 0.000000 , 30.000000 ,          Fixed ,
,   #94 , 1.000000 , 1.000000 , 0.057615 , 0.000000 , 30.000000 ,          Fixed ,
,   #95 , 1.000000 , 1.000000 , 0.059229 , 0.000000 , 30.000000 ,          Fixed ,
,   #96 , 1.000000 , 1.000000 , 0.058381 , 0.000000 , 30.000000 ,          Fixed ,
,   #97 , 1.000000 , 1.000000 , 0.055177 , 0.000000 , 30.000000 ,          Fixed ,
,   #98 , 1.000000 , 1.000000 , 0.057317 , 0.000000 , 30.000000 ,          Fixed ,
,   #99 , 1.000000 , 1.000000 , 0.113455 , 0.000000 , 30.000000 ,          Fixed ,
,  #100 , 1.000000 , 1.000000 , 0.253588 , 0.000000 , 30.000000 ,          Fixed ,
,  #101 , 1.000000 , 1.000000 , 0.139567 , 0.000000 , 30.000000 ,          Fixed ,
,  #102 , 1.000000 , 1.000000 , 0.106860 , 0.000000 , 30.000000 ,          Fixed ,
,  #103 , 1.000000 , 1.000000 , 0.093836 , 0.000000 , 30.000000 ,          Fixed ,
,  #104 , 1.000000 , 1.000000 , 0.086684 , 0.000000 , 30.000000 ,          Fixed ,
,  #105 , 1.000000 , 1.000000 , 0.079682 , 0.000000 , 30.000000 ,          Fixed ,
,  #106 , 1.000000 , 1.000000 , 0.066458 , 0.000000 , 30.000000 ,          Fixed ,
,  #107 , 1.000000 , 1.000000 , 0.055554 , 0.000000 , 30.000000 ,          Fixed ,
,  #108 , 1.000000 , 1.000000 , 0.058661 , 0.000000 , 30.000000 ,          Fixed ,
,  #109 , 1.000000 , 1.000000 , 0.062021 , 0.000000 , 30.000000 ,          Fixed ,
,  #110 , 1.000000 , 1.000000 , 0.065438 , 0.000000 , 30.000000 ,          Fixed ,
,  #111 , 1.000000 , 1.000000 , 0.066849 , 0.000000 , 30.000000 ,          Fixed ,
,  #112 , 1.000000 , 1.000000 , 0.068617 , 0.000000 , 30.000000 ,          Fixed ,
,  #113 , 1.000000 , 1.000000 , 0.093449 , 0.000000 , 30.000000 ,          Fixed ,
,  #114 , 1.000000 , 1.000000 , 0.213785 , 0.000000 , 30.000000 ,          Fixed ,
,  #115 , 1.000000 , 1.000000 , 0.247098 , 0.000000 , 30.000000 ,          Fixed ,
